star_rating,title,year,content_rating,genre,duration,gross
9.3,The Shawshank Redemption,1994,R,Drama            ,142,1963330
9.2,The Godfather,1972,R,Crime,175,28341469
9.0,The Dark Knight,2008,PG-13,Action,152,1344258
9.0,The Godfather: Part II,1974,R,Crime,202,134966411
8.9,Pulp Fiction,1994,R,Crime,154,1935047
8.9,Schindler's List,1993,R,Biography,195,534858444
8.9,The Lord of the Rings: The Return of the King,2003,PG-13,Adventure,201,930134
8.9,"The Good, the Bad and the Ugly",1966,R,Western            ,178,57300000
8.9,12 Angry Men,1957,Approved,Crime,96,1535170
8.8,Avengers: Infinity War,2018,PG-13,Action,149,107928762
8.8,The Lord of the Rings: The Fellowship of the Ring,2001,PG-13,Adventure,178,1012829
8.8,Inception,2010,PG-13,Action,148,96067179
8.8,Forrest Gump,1994,PG-13,Drama,142,1401164
8.8,Fight Club,1999,R,Drama            ,139,377845905
8.8,Star Wars: Episode V - The Empire Strikes Back,1980,PG,Action,124,582893
8.7,The Matrix,1999,R,Action,136,6100000
8.7,Goodfellas,1990,R,Biography,146,546853
8.7,The Lord of the Rings: The Two Towers,2002,PG-13,Adventure,179,379601
8.7,One Flew Over the Cuckoo's Nest,1975,R,Drama            ,133,665845272
8.7,Seven Samurai,1954,Not Rated,Adventure,207,1418566
8.6,Interstellar,2014,PG-13,Adventure,169,315544750
8.6,The Silence of the Lambs,1991,R,Crime,118,1718980
8.6,Lon: The Professional,1994,R,Crime,110,292576195
8.6,Se7en,1995,R,Crime,127,1491637
8.6,Star Wars: Episode IV - A New Hope,1977,PG,Action,121,330252182
8.6,Saving Private Ryan,1998,R,Drama,169,1573724
8.6,Spirited Away,2001,PG,Animation,125,37030102
8.6,The Usual Suspects,1995,R,Crime,106,988556
8.6,City of God,2002,R,Crime,130,290475067
8.6,Life Is Beautiful,1997,PG-13,Comedy,116,1411085
8.6,It's a Wonderful Life,1946,PG,Drama,130,171479930
8.6,City Lights,1931,G,Comedy,87,847247
8.5,Coco,-2017,PG,Animation,105,46836394
8.5,The Departed,2006,R,Crime,151,1267102
8.5,The Lion King,1994,G,Animation,88,342551365
8.5,Back to the Future,1985,PG,Adventure,116,782176
8.5,Gladiator,2000,R,Action,155,112000000
8.5,Whiplash,2014,R,Drama,107,266583
8.5,The Prestige,2006,PG-13,Drama,130,269061
8.5,Raiders of the Lost Ark,1981,PG,Action,115,1183361
8.5,Alien,1979,R,Horror,116,188020017
8.5,Apocalypse Now,1979,R,Drama,147,1050761
8.5,The Green Mile,1999,R,Crime,189,130742922
8.5,Psycho,1960,R,Horror,109,858137
8.5,Terminator 2,1991,R,Action,137,19501238
8.5,Memento,2000,R,Mystery,113,1198932
8.5,American History X,1998,R,Crime,119,100125643
8.5,The Intouchables,2011,R,Biography,112,1059654
8.5,Once Upon a Time in the West,1968,PG-13,Western            ,164,322740140
8.5,The Pianist,2002,R,Biography,150,1034958
8.5,Casablanca,1942,PG,Drama,102,216540909
8.5,Rear Window,1954,PG,Mystery,112,512829
8.5,Grave of the Fireflies,1988,Not Rated,Animation,89,10055859
8.5,Cinema Paradiso,1988,R,Drama            ,155,854833
8.5,Dangal,2016,Not Rated,Action,161,23341568
8.5,Sunset Blvd.,1950,Not Rated,Drama,110,609350
8.5,The Great Dictator,1940,G,Comedy,125,7563397
8.5,Modern Times,1936,G,Comedy,87,510702
8.5,Babam ve Oglum,2005,R,Drama            ,108,57598247
8.4,Django Unchained,2012,R,Drama,165,330423
8.4,The Shining,1980,PG-13,Drama,146,7270000
8.4,The Dark Knight Rises,2012,R,Action,164,134896
8.4,Braveheart,1995,R,Biography,178,19181
8.4,American Beauty,1999,PG,Drama            ,122,186425
8.4,Kimi no na wa.,2016,R,Animation,106,209726015
8.4,Oldeuboi,2003,R,Action,120,1011454
8.4,Aliens,1986,G,Action,137,132384315
8.4,WALLáE,2008,R,Animation,98,770983
8.4,Once Upon a Time in America,1984,R,Crime,229,312900000
8.4,The Lives of Others,2006,PG,Drama,137,867023
8.4,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,PG-13,Comedy            ,95,210609762
8.4,3 Idiots,2009,PG-13,Comedy,170,1136687
8.4,Princess Mononoke,1997,PG,Animation,134,187705427
8.4,Citizen Kane,1941,R,Drama,119,554499
8.4,Das Boot,1981,PG,Adventure,149,13092000
8.4,Taare Zameen Par,2007,Not Rated,Drama,165,998305
8.4,M,1931,Not Rated,Crime,99,53089891
8.4,Witness for the Prosecution,1957,Not Rated,Crime,116,761927
8.4,Paths of Glory,1957,Not Rated,Drama,88,248159971
8.4,Baahubali 2: The Conclusion,2017,R,Action,167,670972
8.3,Inglourious Basterds,2009,G,Adventure,153,78900000
8.3,2001: A Space Odyssey,1968,G,Adventure,149,517652
8.3,Toy Story,1995,R,Animation,81,83471511
8.3,Taxi Driver,1976,R,Crime,114,936295
8.3,A Clockwork Orange,1971,G,Crime,136,136801374
8.3,Toy Story 3,2010,R,Animation,103,499468
8.3,Requiem for a Dream,2000,PG-13,Drama            ,102,32000000
8.3,Batman Begins,2005,R,Action,140,854482
8.3,Scarface,1983,PG,Crime,170,204843350
8.3,Up,2009,R,Animation,96,976336
8.3,Full Metal Jacket,1987,R,Drama,116,25544867
8.3,Good Will Hunting,1997,R,Drama            ,126,899722
8.3,Eternal Sunshine of the Spotless Mind,2004,R,Drama,108,6719864
8.3,Snatch,2000,R,Comedy,102,622183
8.3,L.A. Confidential,1997,R,Crime,138,13182281
8.3,Reservoir Dogs,1992,PG,Crime,99,255126
8.3,Star Wars: Episode VI - Return of the Jedi,1983,PG-13,Action,131,5321508
8.3,Indiana Jones and the Last Crusade,1989,R,Action,127,594442
8.3,For a Few Dollars More,1965,R,Western            ,132,32572577
8.3,The Hunt,2012,R,Drama,115,449102
